restaurant_name,author,rating,text,time
池先生 kopitiam premium (公館店),c chang,4 顆星,"店員服務良好！
拉茶對我們而言過甜！
沙爹飯的醬料，我們兩個人覺得口味偏甜，不會不好吃，可能是我們自己吃不習慣吧！
肉骨茶湯飯這一道是我們兩個比較習慣的，湯真的很好喝，唯一可惜的是肉，可能是部位的關係，我們吃起來感覺肉質比較柴一點！
廁所男女分開都算乾淨！
餐食最低2百多起供選擇～
無收取服務費，
用餐氛圍算不錯，
位置滿多的，
聚餐也挺適合的，
整體而言還算不錯！
今晚去用餐，店內生意也不錯，年輕人滿多的，我們是候位第二組，但等位沒有太久，很快就有位子給我們了！
也有一些優惠例如：學生證等等（門口桌上有菜單及告知文宣可詳閱）。",1 個月前
池先生 kopitiam premium (公館店),Thanh Trần 美清,5 顆星,"這家餐廳離公館捷運站很近，位置方便。
我是在週一中午去的，人不多，環境滿舒服的。
我們三個人點了三道主餐和一杯飲料。這是我第一次吃馬來西亞料理，味道比我想像中更好吃。剛好那天是我的生日，還有半價優惠，覺得很貼心。

整體來說，體驗不錯，之後還會想再去。",1 個月前
池先生 kopitiam premium (公館店),張婕妤,5 顆星,"這次嚐鮮的幾道馬來西亞料理都讓人驚喜✨️
椰漿飯搭配炸雞和雞肉串香氣四溢，椰香濃郁不膩，炸雞外酥內嫩、雞肉串多汁入味，每一口都很有南洋風味。

馬來西亞肉骨茶飯湯頭藥材香濃卻不苦澀，搭配白飯剛剛好，一入口就能感受到溫潤、甘甜的層次，是非常道地的味道。

再來一杯馬來西亞拉茶，茶香與奶香完美融合，拉出的綿密口感真的很療癒，甜度也剛好，不會過於厚重。

最後的叉燒乾撈雲吞麵更是亮點，麵條Q彈不卡牙、叉燒軟嫩帶甜味，醬香濃郁卻不死鹹，整體風味非常純正。
#會再訪的店家👍💯😊😊😊",1 個月前
池先生 kopitiam premium (公館店),PH Hostel,5 顆星,"近捷運公館四號出口

池先生跟對面也是馬來西亞料理雖營業、菜單、裝潢風格方式、兩家相近，但是分別獨立經營。

我尊重創始店，若有位子的話，我會優先選池先生，這邊的服務人員蠻熱心的，去的時候，有詢問時笑容都會掛臉上。

整體都不錯吃，我喜歡這的菜單設計，感覺選擇性豐富，我個人推 海鮮總匯咖哩叻沙湯麵，湯頭濃郁新鮮。

有學生證本人飲料能折$40，同行者無學生證的話無折扣。",1 個月前
池先生 kopitiam premium (公館店),Andy Hsu,4 顆星,"今天到公館的池先生用餐，整體體驗相當不錯。雖然服務沒有特別熱情，但因為餐廳本來就沒有收服務費，所以這樣的服務水準算是合理、也沒有什麼好挑剔的。

比較讓我驚艷的是食物部分。點了咖哩叻沙湯麵，湯頭香濃帶點辣度，卻不會過辣，香氣十足，裡面的配料也相當豐富，份量很足夠。叉燒乾撈雲吞麵則是另一亮點，叉燒口感偏像東坡肉，帶點甜味，非常特別。雲吞更是讓人驚喜，內餡鮮美、皮薄滑口，讓人一顆接一顆。飲料點了馬來西亞拉茶，一開始覺得有點偏甜，但隨著冰塊融化後甜度剛好，喝起來清爽順口。

整體來說，池先生的餐點水準很高，特別是麵食和雲吞，值得專程來試試。雖然沒有額外的服務驚喜，但在沒有收服務費的前提下，已經算是很不錯的用餐體驗，會考慮再訪。",3 個月前
池先生 kopitiam premium (公館店),Wen-Tzu Chen,5 顆星,價格合理，食物好吃！每道菜都有特色，沙爹入味、雞肉鮮嫩；咖椰吐司烤得微焦酥脆，讓人一口接一口。三寶飯份量十足，雲吞叉燒麵的蜜汁叉燒與Q彈麵條更是絕配。下次一定會再回訪！,3 個月前
池先生 kopitiam premium (公館店),Norah Tsai,4 顆星,"整體風味中上，沙嗲雞肉算軟嫩、不會太柴，沾醬味道也可以。
叻沙湯麵的湯頭調味不錯，不會過辣、辛香料很開胃，可惜麵條稍軟。炒粿條比較偏油、略顯膩口，但還好口感還算Q。",5 個月前
池先生 kopitiam premium (公館店),Vicky Li,5 顆星,門口抽號碼牌候位，門口蚊子很多，通常6點就有排隊人潮，價格貴但味道好吃，上菜不快。,1 個月前
池先生 kopitiam premium (公館店),趙查爾斯,5 顆星,終於吃到一直很想吃的池先生，我最愛的東南亞食物椰漿飯表現不錯，套餐同時可以吃到大馬名物沙爹雞肉串，經典美祿也是超濃不知道怎麼泡的😎,1 個月前
池先生 kopitiam premium (公館店),Ning,5 顆星,他的辣特別好吃！雖然很辣，但是會很ㄙㄨㄚˋ嘴，下次還會想要再吃“椰漿飯，是雞肉串跟海鮮”的那道，其他餐點也很好吃，只是想特別說喜歡吃辣的人，很推這個椰漿飯的辣。,3 個月前
池先生 kopitiam premium (公館店),Anonymous,4 顆星,"滑蛋河粉的河粉炒的很香，不過淋上濕答答的滑蛋吃的不太習慣

沙爹雞肉很入味～五根一個人吃會蠻飽的

Cendol 很甜很讚！有還原到我在東南亞喝到的爆甜感🤣💛",3 個月前
池先生 kopitiam premium (公館店),Lillian,4 顆星,"推薦炒粿條好吃，瓦煲臘腸雞肉飯尚可(米飯跟肉的份量都算多，但是吃到後面會有點膩)，炸物拼盤跟摩摩喳喳就偏中規中矩。
整體上菜服務跟桌面清潔算不錯，而且在餐廳開始營業前在門口等待還有發放五折飲料優惠券(可整桌使用)，就是整體價位偏高。",2 個月前
池先生 kopitiam premium (公館店),Patrick kho,5 顆星,"真的每一道都好好吃！很有MALAYSIA🇲🇾的味道🥹非常夠味！
價格便宜！地點也很方便，能想像得到餐期會多忙🤣
非常推！！！",4 個月前
